month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2014-01,235.288,1.557758795574915,842.9516129032259
2014-02,235.547,1.1204746347724948,666.6432142857142
2014-03,236.028,1.6126949139408042,592.5379032258064
2014-04,236.468,2.015125303606169,460.5380666666667
2014-05,236.918,2.166947687079812,484.47523548387096
2014-06,237.231,2.0589816945944195,612.14361
2014-07,237.498,1.9742378703305974,615.6321500076444
2014-08,237.46,1.7150983482969062,534.9412273417518
2014-09,237.477,1.6840509711232077,442.97731333333337
2014-10,237.43,1.6095417021513292,361.331502253619
2014-11,236.983,1.231524989320798,364.42880163627166
2014-12,236.252,0.6531213919623191,340.4420594421721
2015-01,234.747,-0.22993097820542818,248.62133699771456
2015-02,235.342,-0.08703146293520536,233.98827194856668
2015-03,235.976,-0.022031284423873476,268.2939496365833
2015-04,236.222,-0.10403098939391064,234.98114643799082
2015-05,237.001,0.03503321824429584,236.89434497091386
2015-06,237.657,0.1795718097550525,237.90103998089654
2015-07,238.034,0.22568611104094582,278.72073872232676
2015-08,238.033,0.2413037985344868,251.48998692379647
2015-09,237.498,0.008842961634170088,233.4377965214629
2015-10,237.733,0.12761656067050708,265.03092751853615
2015-11,238.017,0.4363182169185187,347.92271999999997
2015-12,237.761,0.6387247515364791,424.5273870967742
2016-01,237.652,1.2375025026943876,410.816170967742
2016-02,237.336,0.8472775790126619,403.20389655172414
2016-03,238.08,0.8916160965521946,414.8698387096774
2016-04,238.992,1.1726257503534843,434.2048666666667
2016-05,239.557,1.0784764621246223,461.9752258064516
2016-06,240.222,1.0792865347959424,642.125542229736
2016-07,240.101,0.8683633430518256,661.8538654850242
2016-08,240.545,1.0553158595656864,577.688033357651
2016-09,241.176,1.5486446201652182,604.7146045178117
2016-10,241.741,1.685924966243646,641.1230746050722
2016-11,242.026,1.6843334719788938,724.3468902622135
2016-12,242.637,2.0507989115119862,824.6431416089134
2017-01,243.618,2.5103933482571117,910.3463943533917
2017-02,244.006,2.8103616813294208,1064.5357128761211
2017-03,243.892,2.44119623655914,1129.982508925163
2017-04,244.193,2.176223471915395,1217.1546531507236
2017-05,244.004,1.8563431667619756,1880.6084870967743
2017-06,244.163,1.640565809959127,2653.764180778026
2017-07,244.243,1.7251073506566073,2514.096534111341
2017-08,245.183,1.92812155729698,3803.6508585602483
2017-09,246.435,2.1805652303711787,4051.9303820030063
2017-10,246.626,2.020757753132485,5335.315072568365
2017-11,247.284,2.172493864295566,7829.242708462563
2017-12,247.805,2.129930719552253,15576.174009863029
2018-01,248.859,2.151318868063945,13446.151589777297
2018-02,249.529,2.263468931091861,9399.274259571272
2018-03,249.577,2.3309497646499366,9141.766464665143
2018-04,250.227,2.4709963021052994,7917.109074145067
2018-05,250.792,2.781921607842497,8454.154228014308
2018-06,251.018,2.8075506935940187,6786.52430968524
2018-07,251.214,2.854124785561929,7070.579081512246
2018-08,251.663,2.6429238568742575,6701.27460187854
2018-09,252.182,2.332055105808828,6611.288494658302
2018-10,252.772,2.492032470218053,6503.431572097321
2018-11,252.594,2.147328577667773,5501.286535461351
2018-12,252.767,2.0023809043401064,3684.0550370597343
2019-01,252.561,1.4875893578291333,3661.377844039735
2019-02,253.319,1.5188615351321877,3675.874108764173
2019-03,254.277,1.8831863513063984,3930.1478055575126
2019-04,255.233,2.000583470209061,5118.40377524764
2019-05,255.296,1.7959105553606136,7191.559089268884
2019-06,255.213,1.671194894390049,9333.91601150218
2019-07,255.802,1.826331335037068,10698.367555843952
2019-08,256.036,1.7376412106666406,10646.743263944125
2019-09,256.43,1.6844977040391562,9838.894285189073
2019-10,257.155,1.7339736996186295,8348.787893962626
2019-11,257.879,2.092290394862917,8391.820301410371
2019-12,258.63,2.3195274699624457,7260.18574622032
2020-01,259.127,2.599767976845202,8297.873269513788
2020-02,259.25,2.3413166797595197,9661.30680463542
2020-03,258.076,1.4940399642909163,6951.95301129559
2020-04,256.032,0.3130472940411133,7134.565377461739
2020-05,255.802,0.1982013035848551,9221.57283038268
2020-06,257.042,0.7166562831830481,9492.753813578056
2020-07,258.352,0.9968647625897997,9518.782679901477
2020-08,259.316,1.2810698495523853,11630.115178920976
2020-09,259.997,1.3910228912373812,10673.321498967352
2020-10,260.319,1.2303863428671624,11787.007625304124
2020-11,260.911,1.1757452138405844,16454.541288702465
2020-12,262.045,1.3204191315779434,21698.23643221539
2021-01,262.687,1.3738437137002402,34634.24310969527
2021-02,263.579,1.6698167791706853,45897.94904982026
2021-03,264.961,2.6678187820641908,54532.80524870421
2021-04,266.614,4.133077115360573,57148.23715053179
2021-05,268.383,4.918257089467626,47187.714790205704
2021-06,270.654,5.295632620349999,35973.744469242396
2021-07,271.903,5.245169381309234,34271.52813871139
2021-08,272.676,5.152015301793966,45563.6735255675
2021-09,273.91,5.351215590949132,46085.361451894605
2021-10,276.55,6.235042390298062,57485.34348063382
2021-11,278.919,6.901970403700863,60984.68847964431
2021-12,280.845,7.174340285065539,49722.381007831485
2022-01,282.543,7.558805726967832,41413.91580726949
2022-02,284.5,7.937278766517819,40648.22165632696
2022-03,287.674,8.572204966013853,41897.67000621025
2022-04,288.561,8.231750770777225,41716.10571715787
2022-05,291.298,8.538171195642065,31945.262298936104
2022-06,294.957,8.979361103105798,24801.550994146888
2022-07,294.913,8.462576727730099,21431.69954994507
2022-08,295.097,8.222579178218826,22493.909612659092
2022-09,296.349,8.192106896425821,19820.503938870683
2022-10,298.007,7.758813957693,19614.28474983723
2022-11,298.786,7.122856456533988,17712.67869374348
2022-12,298.832,6.404600402357152,16966.382112325467
2023-01,300.42,6.327178517960097,20044.788879919153
2023-02,301.45,5.957820738137087,23308.15061444375
2023-03,301.821,4.917719362889961,24986.55402819354
2023-04,302.845,4.950079879124369,28833.24928947539
2023-05,303.334,4.131851231385042,27572.75180546727
2023-06,304.014,3.070617072997095,27657.394154036556
2023-07,304.609,3.287749268428297,30090.07957460349
2023-08,306.082,3.722504803505289,27950.695465212124
2023-09,307.276,3.687206638119256,26267.484927346322
2023-10,307.696,3.2512659098611785,29503.236965590902
2023-11,308.148,3.1333462745911866,36510.04472803711
2023-12,308.741,3.3159099427102934,42406.689796405
2024-01,309.698,3.0883429864855705,42900.73695831616
2024-02,310.967,3.157074141648697,49232.51961805317
2024-03,312.345,3.4868349120836584,67410.81873208864
2024-04,313.023,3.3607951262196734,66275.69509976043
2024-05,313.175,3.244278584003113,65055.81549180553
2024-06,313.044,2.9702579486470926,66053.75856626955
2024-07,313.569,2.9414757935583014,62761.60804689705
2024-08,314.062,2.607144490692037,60107.96853052593
2024-09,314.732,2.4264830315416708,60210.02872389904
2024-10,315.631,2.578844053871343,65360.04001652121
2024-11,316.528,2.719472461284833,85687.3601419989
2024-12,317.604,2.870690967509981,98380.90778199892
2025-01,318.961,2.9909783078999608,99696.06252905859
2025-02,319.679,2.8015834477613355,95922.84913565071
2025-03,319.785,2.381981462805549,85158.74378752633
2025-04,320.302,2.32538823025783,86068.12520336392
2025-05,320.62,2.3772651073680873,103284.77061411348
2025-06,321.435,2.680453865910226,105714.03237053214
2025-07,322.169,2.742618052167134,115067.70320220456
2025-08,323.291,2.9385917430316155,115082.6039365858
2025-09,324.245,3.0225715847133294,112961.94299270981
2025-10,324.654,2.8587179332828505,114210.48443995966
2025-11,325.063,2.6964439164939513,96898.73234287514
2025-12,326.031,2.653304114557753,89006.476648461
2026-01,326.588,2.391201432150014,90751.13402551455
